SYMBOL,ISIN,Security Name,Band,Sector_NSE,Category,MC_Map_Symbol,Sector,Industry,MC_Name,Hyperlink,Exchange
20MICRONS,INE144J01027,20 Microns Limited,20,,,,,,,,NSE
3IINFOTECH,INE748C01020,3i Infotech Limited,10,,,3IINFOTECH,Technology,Computers - Software,3i Infotech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11,NSE
3MINDIA,INE470A01017,3M India Limited,20,SERVICES,,3MINDIA,Conglomerates,Diversified,3M India,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,NSE
5PAISA,INE618L01018,5Paisa Capital Limited,5,,,5PAISA,Miscellaneous,Miscellaneous,5paisa Capita,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/5paisacapital/C98,NSE
63MOONS,INE111B01023,63 moons technologies limited,20,,Nifty IT,63MOONS,Technology,Computers - Software,63 Moons Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/63moonstechnologies/FT02,NSE
8KMILES,INE650K01021,8K Miles Software Services Limited,20,IT,,8KMILES,Banking/Finance,Computers - Software,8K Miles Soft,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01,NSE
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited,20,,,A2ZINFRA,Engineering,Power - Transmission & Equipment,A2Z Infra Eng,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,NSE
AARTIDRUGS,INE767A01016,Aarti Drugs Limited,20,,,AARTIDRUGS,Pharmaceuticals,Pharmaceuticals,Aarti Drugs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,NSE
AARTIIND,INE769A01020,Aarti Industries Limited,20,CHEMICALS,,AARTIIND,Chemicals,Chemicals,Aarti Ind,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,NSE
AARVEEDEN,INE273D01019,Aarvee Denims & Exports Limited,10,,,AARVEEDEN,Manufacturing,Textiles - Denim,Aarvee Denim,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE,NSE
ABAN,INE421A01028,Aban Offshore Limited,20,ENERGY,,ABAN,Oil & Gas,Oil Drilling And Exploration,Aban Offshore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,NSE
ABB,INE117A01022,ABB India Limited,20,INDUSTRIAL MANUFACTURING,,,,,,,NSE
ABBOTINDIA,INE358A01014,Abbott India Limited,20,,,ABBOTINDIA,Pharmaceuticals,Pharmaceuticals,Abbott India,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,NSE
ABCAPITAL,INE674K01013,Aditya Birla Capital Limited,20,,,ABCAPITAL,Miscellaneous,Miscellaneous,AB Capital,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityabirlacapital/ABC9,NSE
ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited,20,CONSUMER GOODS,,ABFRL,Retail/Real Estate,Retail,Aditya Birla F,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,NSE
ACC,INE012A01025,ACC Limited,No Band,CEMENT & CEMENT PRODUCTS,Derivative Product/NIFTY NEXT 50,ACC,Cement/Construction,Cement - Major,ACC,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,NSE
ACCELYA,INE793A01012,Accelya Kale Solutions Limited,20,,,ACCELYA,Technology,Computers - Software Medium & Small,Accelya Kale,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL,NSE
ACE,INE731H01025,Action Construction Equipment Limited,10,,,ACE,Engineering,Engineering - Heavy,Action Const,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3,NSE
ADANIENT,INE423A01024,Adani Enterprises Limited,No Band,SERVICES,NIFTY Free float Smallcap 100,ADANIENT,Services,Trading,Adani Enterpris,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,NSE
